Team,City,State,Zip
Atlanta Hawks,Atlanta,GA,30303
Charlotte Bobcats ,Charlotte,NC,28202
Cleveland Cavaliers ,Cleveland,OH,4415
Denver Nuggets ,Denver,CO,80204
Golden State Warriors ,Oakland,CA,94607
Indiana Pacers ,Indianpolis,IN,46204
Los Angeles Lakers ,El Segundo,CA,90245
Miami Heat ,Miami,FL,33132
Minnesota Timberwolves ,Minneapolis,MN,55403
New Orleans Hornets ,New Orleans,LA,70113
Orlando Magic ,Orlanda,FL,32810
Phoenix Suns ,Phoenix,AZ,85004
Sacramento Kings ,Sacramento,CA,95834
Seattle SuperSonics ,Seattle,WA,98119
Utah Jazz ,Salt Lake City,UT,84101
Boston Celtics ,Boston,MA,2114
Chicago Bulls ,Chicago,IL,60612
Dallas Mavericks ,Dallas,TX,75219
Detroit Pistons ,Auburn Hills,MI,48326
Houston Rockets ,Houston,TX,77002
Memphis Grizzlies ,Memphis,TN,38103
Milwaukee Bucks ,Milwaukee,WI,53207
New Jersey Nets ,East Rutherford,NJ,7073
New York Knickerbockers ,New York,NY,10121
"Philadelphia, PA 19148 ",Philadelphia,PA,19148
"Portland, OR 97227 ",Portland,OR,97227
"San Antonio, TX 78219",San Antonio,TX,78219
"Washington, DC 20004 ",Washington,DC,20004
