Rank,Player,3P,Season,Tm
1,Stephen Curry,343,2015-16,GSW
2,Stephen Curry,286,2014-15,GSW
3,Stephen Curry,272,2012-13,GSW
4,Ray Allen,269,2005-06,SEA
5,Dennis Scott,267,1995-96,ORL
6,Stephen Curry,261,2013-14,GSW
7,George McCloud,257,1995-96,DAL
8,Jason Richardson,243,2007-08,CHA
9,Peja Stojakovic,240,2003-04,SAC
10,Klay Thompson,239,2014-15,GSW
11,Klay Thompson,237,2015-16,GSW
12,Peja Stojakovic,231,2007-08,NOH
,Mookie Blaylock,231,1995-96,ATL
14,Reggie Miller*,229,1996-97,IND
,Ray Allen,229,2001-02,MIL
16,Quentin Richardson,226,2004-05,PHO
,Kyle Korver,226,2004-05,PHI
,Rashard Lewis,226,2007-08,ORL
19,Mitch Richmond*,225,1995-96,SAC
,Damon Jones,225,2004-05,MIA
21,Klay Thompson,223,2013-14,GSW
22,Antoine Walker,222,2001-02,BOS
23,Antoine Walker,221,2000-01,BOS
,Kyle Korver,221,2014-15,ATL
,Mookie Blaylock,221,1996-97,ATL
26,Rashard Lewis,220,2008-09,ORL
27,Damian Lillard,218,2013-14,POR
28,John Starks,217,1994-95,NYK
29,Ryan Anderson,213,2012-13,NOH
30,Klay Thompson,211,2012-13,GSW
31,Paul Pierce,210,2001-02,BOS
32,Aaron Brooks,209,2009-10,HOU
,Ray Allen,209,2004-05,SEA
34,James Harden,208,2014-15,HOU
35,Glen Rice,207,1996-97,CHH
36,Gilbert Arenas,205,2006-07,WAS
,Gilbert Arenas,205,2004-05,WAS
,Raja Bell,205,2006-07,PHO
,Damian Lillard,205,2015-16,POR
40,Mitch Richmond*,204,1996-97,SAC
,Gerald Green,204,2013-14,PHO
42,Tim Hardaway,203,1996-97,MIA
43,Ray Allen,202,2000-01,MIL
,Mike Miller,202,2006-07,MEM
45,Wesley Matthews,201,2013-14,POR
,Ray Allen,201,2002-03,TOT
47,J.J. Redick,200,2014-15,LAC
48,Dan Majerle,199,1994-95,PHO
,Ray Allen,199,2008-09,BOS
,Gilbert Arenas,199,2005-06,WAS
,Mookie Blaylock,199,1994-95,ATL
52,Dana Barros,197,1994-95,PHI
,Raja Bell,197,2005-06,PHO
54,Damian Lillard,196,2014-15,POR
55,Reggie Miller*,195,1994-95,IND
56,Trevor Ariza,194,2014-15,HOU
,Dorell Wright,194,2010-11,GSW
,James Harden,194,2015-16,HOU
59,Dale Ellis,192,1996-97,DEN
,Wesley Person,192,1997-98,CLE
,Kevin Durant,192,2013-14,OKC
,Dan Majerle,192,1993-94,PHO
,Mike Bibby,192,2005-06,SAC
,Rafer Alston,192,2006-07,HOU
65,Danny Green,191,2014-15,SAS
,Allan Houston,191,1995-96,DET
,Jose Calderon,191,2013-14,DAL
68,Chuck Person,190,1995-96,SAS
,Kevin Love,190,2013-14,MIN
,Kyle Lowry,190,2013-14,TOR
,Leandro Barbosa,190,2006-07,PHO
72,Kyle Korver,189,2012-13,ATL
,J.R. Smith,189,2013-14,NYK
,Randy Foye,189,2013-14,DEN
,Kyle Lowry,189,2015-16,TOR
,Jason Richardson,189,2010-11,TOT
,Tim Hardaway,189,2000-01,MIA
78,Antoine Walker,188,2002-03,BOS
79,Paul George,187,2015-16,IND
,Baron Davis,187,2003-04,NOH
81,Danilo Gallinari,186,2009-10,NYK
82,Jamal Crawford,185,2004-05,NYK
,Glen Rice,185,1994-95,MIA
,Damian Lillard,185,2012-13,POR
,Kyle Korver,185,2013-14,ATL
86,Kyle Korver,184,2005-06,PHI
,Chauncey Billups,184,2005-06,DET
88,Nick Van Exel,183,1994-95,LAL
,Voshon Lenard,183,1996-97,MIA
,Jason Richardson,183,2005-06,GSW
,Mo Williams,183,2008-09,CLE
92,Danny Granger,182,2008-09,IND
,Michael Redd,182,2002-03,MIL
,Paul George,182,2013-14,IND
,Stephen Jackson,182,2007-08,GSW
96,Damon Stoudamire,181,2004-05,POR
97,J.R. Smith,180,2008-09,DEN
,Reggie Miller*,180,2001-02,IND
,Trevor Ariza,180,2013-14,WAS
,Ray Allen,180,2007-08,BOS
,Kobe Bryant,180,2005-06,LAL
102,J.J. Redick,179,2015-16,LAC
,Steve Nash,179,2007-08,PHO
,Nick Anderson,179,1994-95,ORL
,James Harden,179,2012-13,HOU
106,Clifford Robinson,178,1995-96,POR
,Randy Foye,178,2012-13,UTA
,Allan Houston,178,2002-03,NYK
109,Danny Green,177,2012-13,SAS
,Nick Van Exel,177,1996-97,LAL
,Morris Peterson,177,2005-06,TOR
,James Harden,177,2013-14,HOU
,Luther Head,177,2006-07,HOU
,Eddie Jones,177,2003-04,MIA
,Joe Johnson,177,2004-05,PHO
,Gary Payton*,177,1999-00,SEA
117,Jason Kidd,176,2009-10,DAL
,Kevin Martin,176,2010-11,HOU
,Raja Bell,176,2007-08,PHO
,Damon Stoudamire,176,1996-97,TOR
,Chucky Atkins,176,2004-05,LAL
,Jamal Crawford,176,2007-08,NYK
123,Walt Williams,175,1996-97,TOR
,Terry Mills,175,1996-97,DET
125,Peja Stojakovic,174,2004-05,SAC
,Tracy McGrady,174,2003-04,ORL
127,Mike Bibby,173,2006-07,SAC
,Brandon Jennings,173,2012-13,MIL
,Baron Davis,173,2007-08,GSW
,Tracy McGrady,173,2002-03,ORL
,J.R. Smith,173,2015-16,CLE
,Wesley Matthews,173,2014-15,POR
,Rashard Lewis,173,2004-05,SEA
,Ben Gordon,173,2008-09,CHI
135,Vernon Maxwell,172,1990-91,HOU
,Channing Frye,172,2009-10,PHO
,Chuck Person,172,1994-95,SAS
,Ray Allen,172,1999-00,MIL
,Jason Terry,172,2001-02,ATL
140,Channing Frye,171,2010-11,PHO
,C.J. McCollum,171,2015-16,POR
,Danny Granger,171,2007-08,IND
,Glen Rice,171,1995-96,CHH
,Al Harrington,171,2008-09,TOT
,Wesley Person,171,1996-97,PHO
,Jason Terry,171,2005-06,DAL
147,Paul George,170,2012-13,IND
,Reggie Miller*,170,2000-01,IND
,Baron Davis,170,2001-02,CHH
150,Deron Williams,169,2012-13,BRK
,Pat Garrity,169,2001-02,ORL
,Joe Johnson,169,2007-08,ATL
,Wesley Matthews,169,2012-13,POR
,Mike James,169,2005-06,TOR
155,Nick Anderson,168,1995-96,ORL
,Tim Hardaway,168,1994-95,GSW
,Lindsey Hunter,168,1999-00,DET
,Ray Allen,168,2010-11,BOS
,Reggie Miller*,168,1995-96,IND
,Rashard Lewis,168,2009-10,ORL
161,Reggie Miller*,167,1992-93,IND
,Mike Bibby,167,2008-09,ATL
,Carmelo Anthony,167,2013-14,NYK
,Michael Adams,167,1990-91,DEN
,Jason Terry,167,2008-09,DAL
,Dan Majerle,167,1992-93,PHO
,Robert Covington,167,2014-15,PHI
168,Stephen Curry,166,2009-10,GSW
,Ben Gordon,166,2005-06,CHI
,Lindsey Hunter,166,1996-97,DET
,Hedo Turkoglu,166,2007-08,ORL
,Michael Adams,166,1988-89,DEN
,Roger Mason,166,2008-09,SAS
,Ryan Anderson,166,2011-12,ORL
,Joe Dumars*,166,1996-97,DET
,Jerry Stackhouse,166,2000-01,DET
177,Jamal Crawford,165,2003-04,CHI
,Ray Allen,165,2006-07,SEA
,J.J. Redick,165,2012-13,TOT
,Mike Dunleavy,165,2007-08,IND
,Reggie Miller*,165,1999-00,IND
,Nicolas Batum,165,2012-13,POR
,Chauncey Billups,165,2004-05,DET
184,Dell Curry,164,1995-96,CHH
,Leandro Barbosa,164,2007-08,PHO
,Brent Barry,164,2001-02,SEA
,Brent Barry,164,1999-00,SEA
,Cuttino Mobley,164,2003-04,HOU
,Reggie Miller*,164,1997-98,IND
190,Todd Day,163,1994-95,MIL
,Jamal Crawford,163,2009-10,ATL
,Michael Redd,163,2005-06,MIL
,J.R. Smith,163,2014-15,TOT
194,Vernon Maxwell,162,1991-92,HOU
,Jodie Meeks,162,2013-14,LAL
,Jason Terry,162,2006-07,DAL
,Jim Jackson,162,2003-04,HOU
,Joe Johnson,162,2013-14,BRK
,Dale Ellis,162,1988-89,SEA
,Trevor Ariza,162,2015-16,HOU
,Peja Stojakovic,162,2005-06,TOT
,Vince Carter,162,2000-01,TOR
,Vince Carter,162,2012-13,DAL
,Chauncey Billups,162,2008-09,TOT
205,Terrence Ross,161,2013-14,TOR
,Jamal Crawford,161,2013-14,LAC
,Rafer Alston,161,2003-04,MIA
,Pat Garrity,161,2002-03,ORL
,Troy Murphy,161,2008-09,IND
,Sean Elliott,161,1995-96,SAS
,Isaiah Canaan,161,2015-16,PHI
212,Channing Frye,160,2013-14,PHO
,Jason Terry,160,2002-03,ATL
214,Kevin Durant,159,2015-16,OKC
,Mo Williams,159,2009-10,CLE
,Rudy Fernandez,159,2008-09,POR
217,Tracy Murray,158,1997-98,WAS
,J.R. Smith,158,2009-10,DEN
,Kevin Martin,158,2012-13,OKC
,Danny Granger,158,2009-10,IND
,Joe Dumars*,158,1997-98,DET
,Kerry Kittles,158,1996-97,NJN
,Michael Adams,158,1989-90,DEN
,DeShawn Stevenson,158,2007-08,WAS
,Carlos Delfino,158,2012-13,HOU
,Allan Houston,158,1994-95,DET
227,Kyrie Irving,157,2014-15,CLE
,Chauncey Billups,157,2009-10,DEN
,Danny Granger,157,2010-11,IND
,Jason Richardson,157,2009-10,PHO
,Carmelo Anthony,157,2012-13,NYK
,J.R. Smith,157,2007-08,DEN
,Shane Battier,157,2006-07,HOU
234,Mitch Richmond*,156,1994-95,SAC
,Manu Ginobili,156,2007-08,SAS
,Steve Nash,156,2001-02,DAL
,Juan Carlos Navarro,156,2007-08,MEM
,Scottie Pippen*,156,1996-97,CHI
,Steve Nash,156,2006-07,PHO
,Vince Carter,156,2006-07,NJN
,Damon Stoudamire,156,2003-04,POR
242,Allen Iverson,155,1996-97,PHI
,Tim Hardaway,155,1997-98,MIA
,Dennis Scott,155,1993-94,ORL
,Rasheed Wallace,155,2005-06,DET
,J.R. Smith,155,2012-13,NYK
,Mike Miller,155,2007-08,MEM
,Glen Rice,155,1991-92,MIA
,Ben Gordon,155,2006-07,CHI
,Peja Stojakovic,155,2002-03,SAC
