No.,Name,Age,Pos,Games,Games Started,Rushing Attempts,Rushing Yds,Rushing TD,Longest Rushing Attempt,Rushing Y/A,Rushing Y/G,Rushing A/G,Pass Targets,Receptions,Receiving Yds,Receiving Y/R,Receiving TD,Longest Reception,Receptions Per Game,Receiving Y/G,Yards from Scrimmage,Rushing and Receiving TD,Fumbles
25,LeSean McCoy,27,RB,12,12,203,895,3,48,4.4,74.6,16.9,50,32,292,9.1,2,22,2.7,24.3,1187,5,2
5,Tyrod Taylor,26,QB/WR,14,14,104,568,4,31,5.5,40.6,7.4,1,1,4,4,0,4,0.1,0.3,572,4,9
29,Karlos Williams,22,FB/RB,11,3,93,517,7,41,5.6,47,8.5,14,11,96,8.7,2,26,1,8.7,613,9,2
35,Mike Gillislee,25,RB,5,1,47,267,3,60,5.7,53.4,9.4,7,6,29,4.8,0,14,1.2,5.8,296,3,1
26,Anthony Dixon,28,RB,16,1,21,44,1,6,2.1,2.8,1.3,7,6,44,7.3,0,14,0.4,2.8,88,1,0
3,EJ Manuel,25,QB,7,2,17,64,1,16,3.8,9.1,2.4,,,,,,,,,64,1,2
38,Dan Herron,26,RB,4,0,11,37,0,8,3.4,9.3,2.8,3,3,20,6.7,0,9,0.8,5,57,0,1
18,Percy Harvin,27,WR,5,5,5,31,0,9,6.2,6.2,1,30,19,218,11.5,1,51,3.8,43.6,249,1,1
41,Cierre Wood,24,RB,2,0,2,3,0,3,1.5,1.5,1,1,1,-6,-6,0,-6,0.5,-3,-3,0,0
14,Sammy Watkins,22,WR,13,13,1,1,0,1,1,0.1,0.1,96,60,1047,17.5,9,63,4.6,80.5,1048,9,0
10,Robert Woods,23,WR,14,9,1,0,0,0,0,0,0.1,80,47,552,11.7,3,37,3.4,39.4,552,3,2
15,Chris Hogan,27,WR,16,4,1,4,0,4,4,0.3,0.1,59,36,450,12.5,2,46,2.3,28.1,454,2,0
42,Jerome Felton,29,FB,16,8,1,2,0,2,2,0.1,0.1,2,1,12,12,0,12,0.1,0.8,14,0,0
6,Colton Schmidt,25,P,16,0,1,0,0,0,0,0,0.1,,,,,,,,,0,0,1
11,Marcus Thigpen,29,WR,8,0,1,-1,0,-1,-1,-0.1,0.1,,,,,,,,,-1,0,2
85,Charles Clay,26,TE,13,13,0,0,0,0,,0,0,77,51,528,10.4,3,40,3.9,40.6,528,3,1
89,Chris Gragg,25,TE,13,4,0,0,0,0,,0,0,20,12,150,12.5,0,29,0.9,11.5,150,0,0
17,Greg Salas,27,WR,2,0,0,0,0,0,,0,0,5,3,41,13.7,0,20,1.5,20.5,41,0,0
88,Marquise Goodwin,25,WR,2,0,0,0,0,0,,0,0,2,2,24,12,0,14,1,12,24,0,0
81,Marcus Easley,28,WR,13,0,0,0,0,0,,0,0,3,1,58,58,1,58,0.1,4.5,58,1,0
48,MarQueis Gray,26,TE,4,0,0,0,0,0,,0,0,1,1,2,2,0,2,0.3,0.5,2,0,0
82,Matthew Mulligan,30,TE,12,5,0,0,0,0,,0,0,1,1,2,2,0,2,0.1,0.2,2,0,0
84,Nick O'Leary,23,TE,4,0,0,0,0,0,,0,0,3,1,37,37,0,37,0.3,9.3,37,0,0
,Team Total,26.2,,16,,509,2432,19,60,4.8,152,31.8,462,295,3600,12.2,23,63,18.4,225,6032,42,28
,Opp Total,,,16,,394,1730,10,,4.4,108.1,24.6,,347,3972,11.4,30,,21.7,248.3,5702,40,16
