,Cardiovascular,Diabetes
Albany,294.6,8.6
Allegany,313.9,8.7
Bronx,240.9,11.3
Broome,381.7,8.6
Cattaraugus,446.1,10.9
Cayuga,301.3,9.5
Chautauqua,378.6,11.2
Chemung,332.7,11.3
Chenango,460.9,12.1
Clinton,228.7,10.0
Columbia,381.8,6.6
Cortland,241.3,10.5
Delaware,458.0,8.7
Dutchess,257.9,9.7
Erie,351.1,10.5
Essex,298.5,10.4
Franklin,311.6,11.7
Fulton,374.0,8.0
Genesee,340.6,13.2
Greene,346.7,8.7
Hamilton,398.6,8.0
Herkimer,402.8,11.2
Jefferson,289.9,10.7
Kings,262.6,10.5
Lewis,296.3,10.4
Livingston,251.9,9.9
Madison,240.8,7.4
Monroe,259.3,8.9
Montgomery,466.6,7.7
Nassau,350.5,5.9
New York,224.5,6.1
New York State,281.2,9.0
Niagara,415.4,10.2
Oneida,377.6,8.8
Onondaga,259.7,7.6
Ontario,290.3,7.4
Orange,211.8,6.9
Orleans,352.0,8.1
Oswego,274.3,9.9
Otsego,332.7,6.6
Putnam,236.5,6.4
Queens,268.8,11.0
Rensselaer,326.1,9.3
Richmond,316.6,8.5
Rockland,248.6,8.0
Saratoga,251.9,8.4
Schenectady,334.9,9.4
Schoharie,273.6,7.6
Schuyler,368.1,10.3
Seneca,262.2,10.7
St. Lawrence,305.7,10.8
Steuben,320.1,7.9
Suffolk,265.1,9.0
Sullivan,307.9,10.4
Tioga,239.1,10.7
Tompkins,194.4,7.4
Ulster,278.2,8.0
Warren,293.6,9.8
Washington,280.2,8.1
Wayne,258.9,8.6
Westchester,260.4,7.2
Wyoming,276.5,8.7
Yates,296.2,9.0
